                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.97868,                0.90198,                 1.2265,                0.71305,                   0.75,                0.76794,                0.54321,                 1.5139,                 4.4435,                 2.5614,             0.00091549,             0.00091549,             0.00091549
                     35,                0.95459,                0.82678,                 1.1458,                0.84542,                   0.75,                  0.845,                0.58395,                 1.3421,                  3.495,                 2.5038,             0.00092797,             0.00092797,             0.00092797
                     36,                0.88297,                0.70811,                 1.1781,                0.84542,                   0.75,                  0.845,                0.58395,                 1.3421,                  3.495,                 2.5038,             0.00093966,             0.00093966,             0.00093966
                     37,                0.88871,                0.71593,                 1.1951,                0.92221,                   0.75,                  0.784,                  0.532,                 1.5467,                 2.8103,                  2.513,             0.00095055,             0.00095055,             0.00095055
                     38,                0.89167,                0.74444,                 1.0984,                0.70746,                   0.75,                0.73821,                0.54011,                 1.5805,                 2.3309,                  2.714,             0.00096065,             0.00096065,             0.00096065
                     39,                0.84211,                0.69078,                 1.1517,                0.70746,                   0.75,                0.73821,                0.54011,                 1.5805,                 2.3309,                  2.714,             0.00096996,             0.00096996,             0.00096996
                     40,                 1.0833,                0.87264,                 1.2817,                0.75803,                    0.5,                   0.58,                  0.464,                 1.2039,                 1.9675,                 1.8169,             0.00097848,             0.00097848,             0.00097848
                     41,                  1.091,                0.80142,                 1.2336,                0.39502,                   0.75,                0.48929,                 0.3654,                 1.1919,                 3.0922,                 1.6781,             0.00098621,             0.00098621,             0.00098621
                     42,                0.89362,                0.83789,                 1.1295,                0.39502,                   0.75,                0.48929,                 0.3654,                 1.1919,                 3.0922,                 1.6781,             0.00099314,             0.00099314,             0.00099314
                     43,                0.86522,                 0.7286,                 1.1675,                0.42019,                    0.5,                0.49881,                0.32924,                 1.2072,                 4.8377,                 1.8089,             0.00099928,             0.00099928,             0.00099928
                     44,                0.87507,                0.76977,                 1.1562,                0.42019,                    0.5,                0.49881,                0.32924,                 1.2072,                 4.8377,                 1.8089,              0.0010046,              0.0010046,              0.0010046
                     45,                0.89631,                0.75262,                 1.0912,                 0.6749,                    0.5,                 0.5835,                 0.4559,                 1.3438,                 4.2098,                 1.6316,              0.0010092,              0.0010092,              0.0010092
                     46,                0.87835,                0.72943,                 1.1167,                 0.6749,                    0.5,                 0.5835,                 0.4559,                 1.3438,                 4.2098,                 1.6316,               0.001013,               0.001013,               0.001013
                     47,                0.84914,                0.69127,                 1.0984,                 0.8183,                    0.5,                0.64143,                0.40871,                 1.4739,                 4.7828,                  1.826,              0.0010159,              0.0010159,              0.0010159
                     48,                0.82356,                0.72284,                 1.1634,                 0.8183,                    0.5,                0.64143,                0.40871,                 1.4739,                 4.7828,                  1.826,              0.0010181,              0.0010181,              0.0010181
                     49,                0.82685,                0.71527,                 1.1453,                 0.5403,                   0.75,                   0.87,                  0.542,                 1.2911,                 4.1825,                 1.8202,              0.0010195,              0.0010195,              0.0010195
                     50,                0.90374,                0.82421,                 1.2259,                 0.5403,                   0.75,                   0.87,                  0.542,                 1.2911,                 4.1825,                 1.8202,                0.00101,                0.00101,                0.00101
                     51,                0.84198,                0.71588,                 1.1405,                      1,                    0.5,                0.74917,                0.48214,                 1.2519,                 6.2837,                 1.7677,                0.00101,                0.00101,                0.00101
                     52,                0.85793,                0.73042,                 1.0918,                      1,                    0.5,                0.74917,                0.48214,                 1.2519,                 6.2837,                 1.7677,              0.0009902,              0.0009902,              0.0009902
                     53,                0.99426,                0.76902,                 1.1954,                0.09756,                      1,                0.34051,                0.25417,                 1.3919,                 11.633,                 1.8045,              0.0009704,              0.0009704,              0.0009704
                     54,                0.83141,                0.74933,                 1.1658,                0.09756,                      1,                0.34051,                0.25417,                 1.3919,                 11.633,                 1.8045,              0.0009506,              0.0009506,              0.0009506
                     55,                0.85449,                0.76021,                 1.1488,                0.12051,                   0.75,                0.34141,                0.29174,                 1.4213,                 9.3771,                 2.0988,              0.0009308,              0.0009308,              0.0009308
                     56,                0.88213,                0.76156,                 1.1921,                0.12051,                   0.75,                0.34141,                0.29174,                 1.4213,                 9.3771,                 2.0988,               0.000911,               0.000911,               0.000911
                     57,                0.77789,                0.67885,                 1.0581,                      1,                   0.25,                0.60648,                0.48492,                 1.3536,                  5.409,                 1.9244,              0.0008912,              0.0008912,              0.0008912
                     58,                0.83937,                0.78265,                 1.1147,                      1,                   0.25,                0.60648,                0.48492,                 1.3536,                  5.409,                 1.9244,              0.0008714,              0.0008714,              0.0008714
